flight_connection_id,ops_fid1,flight_id1,flight_id2,f1_sch_arr,f2_sch_dep,pax_sch_layover,conn1_num_passengers,conn1_min_mct,conn1_dest_cd,conn1_min_mct_sec,conn1_orig_cd,ops_fid2
2855SAN2025-12-02_UA_58,UA_2855_2025-12-02_SAN_SFO_0_0,2855SAN2025-12-02,58SFO2025-12-02,1764704460,1764711300,6840,4,0,FRA,0,SFO,
2137MSN2025-12-04_UA_1996,UA_2137_2025-12-04_MSN_ORD_0_0,2137MSN2025-12-04,1996ORD2025-12-04,1764855660,1764860100,4440,4,0,SJU,0,ORD,
2855SAN2025-12-02_UA_871,UA_2855_2025-12-02_SAN_SFO_0_0,2855SAN2025-12-02,871SFO2025-12-02,1764704460,1764711300,6840,1,0,TPE,0,SFO,
2137MSN2025-12-04_UA_2182,UA_2137_2025-12-04_MSN_ORD_0_0,2137MSN2025-12-04,2182ORD2025-12-04,1764855660,1764867900,12240,1,40,PHL,2400,ORD,
1873PHX2025-12-03_UA_6118,UA_1873_2025-12-03_PHX_IAD_0_0,1873PHX2025-12-03,6118IAD2025-12-03,1764792300,1764799800,7500,2,40,BTV,2400,IAD,
2855SAN2025-12-02_UA_817,UA_2855_2025-12-02_SAN_SFO_0_0,2855SAN2025-12-02,817SFO2025-12-02,1764704460,1764710100,5640,1,0,MEX,0,SFO,
2137MSN2025-12-04_UA_5873,UA_2137_2025-12-04_MSN_ORD_0_0,2137MSN2025-12-04,5873ORD2025-12-04,1764855660,1764860700,5040,1,40,GRR,2400,ORD,
721BOS2025-12-03_UA_884,UA_721_2025-12-03_BOS_IAD_0_0,721BOS2025-12-03,884IAD2025-12-03,1764795720,1764801600,5880,3,45,FCO,2700,IAD,
721BOS2025-12-03_UA_4518,UA_721_2025-12-03_BOS_IAD_0_0,721BOS2025-12-03,4518IAD2025-12-03,1764795720,1764802500,6780,1,40,PHL,2400,IAD,
1873PHX2025-12-03_UA_4228,UA_1873_2025-12-03_PHX_IAD_0_0,1873PHX2025-12-03,4228IAD2025-12-03,1764792300,1764799800,7500,2,40,MHT,2400,IAD,
721BOS2025-12-03_UA_918,UA_721_2025-12-03_BOS_IAD_0_0,721BOS2025-12-03,918IAD2025-12-03,1764795720,1764804000,8280,1,0,LHR,0,IAD,
2855SAN2025-12-02_UA_5896,UA_2855_2025-12-02_SAN_SFO_0_0,2855SAN2025-12-02,5896SFO2025-12-02,1764704460,1764708900,4440,2,0,SMF,0,SFO,
721BOS2025-12-03_UA_1662,UA_721_2025-12-03_BOS_IAD_0_0,721BOS2025-12-03,1662IAD2025-12-03,1764795720,1764802500,6780,4,45,FLL,2700,IAD,
2421LAS2025-12-02_UA_115,UA_2421_2025-12-02_LAS_SFO_0_0,2421LAS2025-12-02,115SFO2025-12-02,1764704940,1764710100,5160,8,0,PPT,0,SFO,
1417ONT2025-12-03_UA_423,UA_1417_2025-12-03_ONT_DEN_0_0,1417ONT2025-12-03,423DEN2025-12-04,1764805500,1764809880,4380,1,0,GRR,0,DEN,
1417ONT2025-12-03_UA_5228,UA_1417_2025-12-03_ONT_DEN_0_0,1417ONT2025-12-03,5228DEN2025-12-04,1764805500,1764808080,2580,1,0,BOI,0,DEN,
1417ONT2025-12-03_UA_1790,UA_1417_2025-12-03_ONT_DEN_0_0,1417ONT2025-12-03,1790DEN2025-12-04,1764805500,1764807900,2400,1,0,CLE,0,DEN,
1450DCA2025-12-04_UA_2491,UA_1450_2025-12-04_DCA_IAH_0_0,1450DCA2025-12-04,2491IAH2025-12-04,1764858900,1764862200,3300,1,45,SAN,2700,IAH,
2421LAS2025-12-02_UA_5704,UA_2421_2025-12-02_LAS_SFO_0_0,2421LAS2025-12-02,5704SFO2025-12-02,1764704940,1764709500,4560,1,0,PSP,0,SFO,
1450DCA2025-12-04_UA_6273,UA_1450_2025-12-04_DCA_IAH_0_0,1450DCA2025-12-04,6273IAH2025-12-04,1764858900,1764862200,3300,1,45,TUS,2700,IAH,
1417ONT2025-12-03_UA_2076,UA_1417_2025-12-03_ONT_DEN_0_0,1417ONT2025-12-03,2076DEN2025-12-04,1764805500,1764809880,4380,2,0,MSP,0,DEN,
1417ONT2025-12-03_AC_579,UA_1417_2025-12-03_ONT_DEN_0_0,1417ONT2025-12-03,579DEN2025-12-04,1764805500,1764813900,8400,1,0,YVR,0,DEN,
1450DCA2025-12-04_UA_5094,UA_1450_2025-12-04_DCA_IAH_0_0,1450DCA2025-12-04,5094IAH2025-12-04,1764858900,1764866700,7800,1,45,MEI,2700,IAH,
1450DCA2025-12-04_UA_2118,UA_1450_2025-12-04_DCA_IAH_0_0,1450DCA2025-12-04,2118IAH2025-12-04,1764858900,1764862800,3900,1,45,BJX,2700,IAH,
2421LAS2025-12-02_UA_901,UA_2421_2025-12-02_LAS_SFO_0_0,2421LAS2025-12-02,901SFO2025-12-02,1764704940,1764708600,3660,1,0,LHR,0,SFO,
1417ONT2025-12-03_UA_360,UA_1417_2025-12-03_ONT_DEN_0_0,1417ONT2025-12-03,360DEN2025-12-04,1764805500,1764809400,3900,1,0,PHL,0,DEN,
1417ONT2025-12-03_UA_680,UA_1417_2025-12-03_ONT_DEN_0_0,1417ONT2025-12-03,680DEN2025-12-04,1764805500,1764808620,3120,3,0,ORF,0,DEN,
1417ONT2025-12-03_UA_1110,UA_1417_2025-12-03_ONT_DEN_0_0,1417ONT2025-12-03,1110DEN2025-12-04,1764805500,1764808800,3300,2,0,SAT,0,DEN,
1417ONT2025-12-03_UA_273,UA_1417_2025-12-03_ONT_DEN_0_0,1417ONT2025-12-03,273DEN2025-12-04,1764805500,1764810120,4620,3,0,DSM,0,DEN,
1450DCA2025-12-04_UA_1454,UA_1450_2025-12-04_DCA_IAH_0_0,1450DCA2025-12-04,1454IAH2025-12-04,1764858900,1764862740,3840,2,45,NAS,2700,IAH,UA_1454_2025-12-04_IAH_NAS_0_0
1417ONT2025-12-03_UA_1411,UA_1417_2025-12-03_ONT_DEN_0_0,1417ONT2025-12-03,1411DEN2025-12-04,1764805500,1764808500,3000,5,0,ORD,0,DEN,
1054ORD2025-12-02_UA_2322,UA_1054_2025-12-02_ORD_YVR_0_0,1054ORD2025-12-02,2322YVR2025-12-03,1764719400,1764774000,54600,1,0,SFO,0,YVR,
1417ONT2025-12-03_UA_709,UA_1417_2025-12-03_ONT_DEN_0_0,1417ONT2025-12-03,709DEN2025-12-04,1764805500,1764808800,3300,1,0,BWI,0,DEN,
1450DCA2025-12-04_UA_2393,UA_1450_2025-12-04_DCA_IAH_0_0,1450DCA2025-12-04,2393IAH2025-12-04,1764858900,1764865080,6180,1,45,AUS,2700,IAH,
1417ONT2025-12-03_UA_645,UA_1417_2025-12-03_ONT_DEN_0_0,1417ONT2025-12-03,645DEN2025-12-04,1764805500,1764809280,3780,1,0,FSD,0,DEN,
1450DCA2025-12-04_UA_481,UA_1450_2025-12-04_DCA_IAH_0_0,1450DCA2025-12-04,481IAH2025-12-04,1764858900,1764863160,4260,1,45,DFW,2700,IAH,
1774FAT2025-12-03_UA_2676,UA_1774_2025-12-03_FAT_DEN_0_0,1774FAT2025-12-03,2676DEN2025-12-03,1764775800,1764780840,5040,1,0,IAH,0,DEN,
2077EUG2025-12-03_LX_39,UA_2077_2025-12-03_EUG_SFO_0_0,2077EUG2025-12-03,39SFO2025-12-04,1764805620,1764818700,13080,3,0,ZRH,0,SFO,
2077EUG2025-12-03_UA_638,UA_2077_2025-12-03_EUG_SFO_0_0,2077EUG2025-12-03,638SFO2025-12-04,1764805620,1764816120,10500,2,0,HNL,0,SFO,
2248COS2025-12-02_UA_2666,UA_2248_2025-12-02_COS_DEN_0_0,2248COS2025-12-02,2666DEN2025-12-02,1764683880,1764686760,2880,2,0,SNA,0,DEN,
1774FAT2025-12-03_UA_5388,UA_1774_2025-12-03_FAT_DEN_0_0,1774FAT2025-12-03,5388DEN2025-12-03,1764775800,1764787200,11400,2,0,HLN,0,DEN,
2248COS2025-12-02_UA_1247,UA_2248_2025-12-02_COS_DEN_0_0,2248COS2025-12-02,1247DEN2025-12-02,1764683880,1764686820,2940,1,0,PDX,0,DEN,
2077EUG2025-12-03_UA_2305,UA_2077_2025-12-03_EUG_SFO_0_0,2077EUG2025-12-03,2305SFO2025-12-04,1764805620,1764817800,12180,2,0,IAH,0,SFO,
2248COS2025-12-02_UA_430,UA_2248_2025-12-02_COS_DEN_0_0,2248COS2025-12-02,430DEN2025-12-02,1764683880,1764699300,15420,1,0,ONT,0,DEN,UA_430_2025-12-02_DEN_ONT_0_0
2248COS2025-12-02_UA_1638,UA_2248_2025-12-02_COS_DEN_0_0,2248COS2025-12-02,1638DEN2025-12-02,1764683880,1764686700,2820,9,0,LAX,0,DEN,
1774FAT2025-12-03_UA_1283,UA_1774_2025-12-03_FAT_DEN_0_0,1774FAT2025-12-03,1283DEN2025-12-03,1764775800,1764791400,15600,1,0,EWR,0,DEN,
1774FAT2025-12-03_UA_397,UA_1774_2025-12-03_FAT_DEN_0_0,1774FAT2025-12-03,397DEN2025-12-03,1764775800,1764779700,3900,1,0,MSP,0,DEN,
2248COS2025-12-02_UA_1451,UA_2248_2025-12-02_COS_DEN_0_0,2248COS2025-12-02,1451DEN2025-12-02,1764683880,1764695100,11220,1,0,JAX,0,DEN,UA_1451_2025-12-02_DEN_JAX_0_0
2248COS2025-12-02_UA_2149,UA_2248_2025-12-02_COS_DEN_0_0,2248COS2025-12-02,2149DEN2025-12-02,1764683880,1764688920,5040,6,0,SMF,0,DEN,
