ops_fid,flight_id,aid,sch_date,sch_st_dep,sch_st_arr,epoch_sch_dep,epoch_sch_arr,prev_ops_fid,next_ops_fid,gmt_offset_dep,gmt_offset_arr,epoch_est_dep,epoch_est_arr,turn,ops_mst_calc,sch_mst_calc,total_seat,prev_turn_time,is_mx,total_pax,J_pax,O_pax,Y_pax,num_connx_pax,delay_penalty,cancel_penalty,swap_options,prev_station,prev_aid
MX_252_2025-12-03_RSW_RSW_false,MX_252_2025-12-03_RSW_RSW_false,252,2025-12-03,RSW,RSW,1764816720,1764845520,UA_507_2025-12-03_DEN_RSW_0_0,UA_639_2025-12-04_RSW_DEN_0_0,,,1764816720,1764845520,5100,5100,5100,,0,true,,,,,,,,,RSW,252
UA_639_2025-12-04_RSW_DEN_0_0,639RSW2025-12-04,252,2025-12-04,RSW,DEN,1764853200,1764868800,MX_252_2025-12-03_RSW_RSW_false,UA_1415_2025-12-04_DEN_SMF_0_0,-5,-7,1764853200,1764868800,5100,3060,3060,166,3060,false,143,16,0,127,71,143,3088800,[UA_467_2025-12-04_RSW_ORD_0_0],RSW,252
UA_1415_2025-12-04_DEN_SMF_0_0,1415DEN2025-12-04,252,2025-12-04,DEN,SMF,1764873900,1764883500,UA_639_2025-12-04_RSW_DEN_0_0,UA_566_2025-12-04_SMF_DEN_0_0,-7,-8,1764873900,1764883500,3420,3060,3060,166,3060,false,159,14,0,145,0,159,3434400,"[UA_1575_2025-12-04_DEN_PHL_0_0, UA_2637_2025-12-04_DEN_GRR_0_0, UA_338_2025-12-04_DEN_BDL_0_0, UA_1003_2025-12-04_DEN_CHS_0_0, UA_1460_2025-12-04_DEN_CMH_0_0, UA_221_2025-12-04_DEN_ELP_0_0, UA_318_2025-12-04_DEN_EUG_0_0, UA_639_2025-12-04_DEN_MSO_0_0, UA_1350_2025-12-04_DEN_DFW_0_0, UA_1547_2025-12-04_DEN_FCA_0_0, UA_2265_2025-12-04_DEN_DSM_0_0, UA_445_2025-12-04_DEN_OMA_0_0, UA_1217_2025-12-04_DEN_DRO_0_0, UA_1235_2025-12-04_DEN_MSN_0_0, UA_1586_2025-12-04_DEN_OMA_0_0, UA_741_2025-12-04_DEN_BZN_0_0, UA_2742_2025-12-04_DEN_TUS_0_0, UA_2459_2025-12-04_DEN_YYC_0_0, UA_1476_2025-12-04_DEN_TUS_0_0]",DEN,252
UA_566_2025-12-04_SMF_DEN_0_0,566SMF2025-12-04,252,2025-12-04,SMF,DEN,1764892920,1764901500,UA_1415_2025-12-04_DEN_SMF_0_0,UA_1153_2025-12-04_DEN_ELP_0_0,-8,-7,1764892920,1764901500,3060,3060,3060,166,3060,false,119,12,0,107,43,119,2570400,[UA_2274_2025-12-04_SMF_ORD_0_0],SMF,252
UA_1153_2025-12-04_DEN_ELP_0_0,1153DEN2025-12-04,252,2025-12-04,DEN,ELP,1764905400,1764912060,UA_566_2025-12-04_SMF_DEN_0_0,,-7,-7,1764905400,1764912060,3420,3060,3060,166,3060,false,57,7,0,50,0,57,1231200,"[UA_1374_2025-12-04_DEN_FLL_0_0, UA_2076_2025-12-04_DEN_MSP_0_0, UA_431_2025-12-04_DEN_GJT_0_0, UA_1236_2025-12-04_DEN_PHX_0_0, UA_756_2025-12-04_DEN_FAT_0_0, UA_2324_2025-12-04_DEN_CID_0_0, UA_423_2025-12-04_DEN_GRR_0_0, UA_1422_2025-12-04_DEN_STL_0_0, UA_2644_2025-12-04_DEN_PSP_0_0, UA_2660_2025-12-04_DEN_SBA_0_0, UA_2187_2025-12-04_DEN_SJC_0_0, UA_2350_2025-12-04_DEN_SYR_0_0, UA_1110_2025-12-04_DEN_SAT_0_0, UA_1615_2025-12-04_DEN_CVG_0_0, UA_506_2025-12-04_DEN_MCI_0_0]",DEN,252
UA_2383_2025-12-02_PHL_DEN_0_0,2383PHL2025-12-02,253,2025-12-02,PHL,DEN,1764680400,1764696120,,UA_221_2025-12-02_DEN_ELP_0_0,-5,-7,1764680400,1764696120,5100,3060,3060,166,3060,false,159,16,0,143,90,159,3434400,,,0000
UA_221_2025-12-02_DEN_ELP_0_0,221DEN2025-12-02,253,2025-12-02,DEN,ELP,1764700740,1764707400,UA_2383_2025-12-02_PHL_DEN_0_0,UA_1894_2025-12-02_ELP_DEN_0_0,-7,-7,1764700740,1764707400,3420,3060,3060,166,3060,false,131,15,0,116,0,131,2829600,"[UA_1460_2025-12-02_DEN_CMH_0_0, UA_2273_2025-12-02_DEN_MSY_0_0, UA_1003_2025-12-02_DEN_CHS_0_0, UA_1415_2025-12-02_DEN_SMF_0_0, UA_1476_2025-12-02_DEN_TUS_0_0, UA_2459_2025-12-02_DEN_YYC_0_0, UA_430_2025-12-02_DEN_ONT_0_0, UA_1575_2025-12-02_DEN_PHL_0_0, UA_703_2025-12-02_DEN_BIL_0_0, UA_424_2025-12-02_DEN_CID_0_0, UA_1311_2025-12-02_DEN_SAT_0_0, UA_671_2025-12-02_DEN_SBA_0_0, UA_1547_2025-12-02_DEN_FCA_0_0, UA_1451_2025-12-02_DEN_JAX_0_0, UA_375_2025-12-02_DEN_DCA_0_0, UA_2255_2025-12-02_DEN_IND_0_0, UA_1125_2025-12-02_DEN_BOI_0_0, UA_2637_2025-12-02_DEN_GRR_0_0, UA_338_2025-12-02_DEN_BDL_0_0, UA_295_2025-12-02_DEN_GEG_0_0, UA_1294_2025-12-02_DEN_PSP_0_0, UA_323_2025-12-02_DEN_TPA_0_0, UA_2257_2025-12-02_DEN_PVR_0_0, UA_318_2025-12-02_DEN_EUG_0_0, UA_741_2025-12-02_DEN_BZN_0_0]",DEN,253
UA_1894_2025-12-02_ELP_DEN_0_0,1894ELP2025-12-02,253,2025-12-02,ELP,DEN,1764711300,1764718080,UA_221_2025-12-02_DEN_ELP_0_0,UA_2324_2025-12-02_DEN_CID_0_0,-7,-7,1764711300,1764718080,3060,3060,3060,166,3060,false,140,14,0,126,115,140,3024000,,ELP,253
UA_2324_2025-12-02_DEN_CID_0_0,2324DEN2025-12-02,253,2025-12-02,DEN,CID,1764722160,1764729120,UA_1894_2025-12-02_ELP_DEN_0_0,UA_1500_2025-12-03_CID_DEN_0_0,-7,-6,1764722160,1764729120,3420,3060,3060,166,3060,false,143,15,0,128,0,143,3088800,"[UA_2660_2025-12-02_DEN_SBA_0_0, UA_719_2025-12-02_DEN_RNO_0_0, UA_1153_2025-12-02_DEN_ELP_0_0, UA_756_2025-12-02_DEN_FAT_0_0, UA_645_2025-12-02_DEN_FSD_0_0, UA_423_2025-12-02_DEN_GRR_0_0, UA_350_2025-12-02_DEN_PHX_0_0, UA_1110_2025-12-02_DEN_SAT_0_0, UA_2350_2025-12-02_DEN_SYR_0_0, UA_506_2025-12-02_DEN_MCI_0_0, UA_2187_2025-12-02_DEN_SJC_0_0, UA_1762_2025-12-02_DEN_TUS_0_0, UA_1422_2025-12-02_DEN_STL_0_0, UA_360_2025-12-02_DEN_PHL_0_0, UA_1942_2025-12-02_DEN_AUS_0_0, UA_1969_2025-12-02_DEN_CMH_0_0, UA_476_2025-12-02_DEN_YEG_0_0, UA_680_2025-12-02_DEN_ORF_0_0, UA_2076_2025-12-02_DEN_MSP_0_0, UA_231_2025-12-02_DEN_SDF_0_0]",DEN,253
UA_1500_2025-12-03_CID_DEN_0_0,1500CID2025-12-03,253,2025-12-03,CID,DEN,1764773220,1764781500,UA_2324_2025-12-02_DEN_CID_0_0,UA_1547_2025-12-03_DEN_FCA_0_0,-6,-7,1764773220,1764781500,5100,3060,3060,166,3060,false,102,13,0,89,83,102,2203200,,CID,253
