ops_fid,flight_id,aid,sch_date,sch_st_dep,sch_st_arr,epoch_sch_dep,epoch_sch_arr,prev_ops_fid,next_ops_fid,gmt_offset_dep,gmt_offset_arr,epoch_est_dep,epoch_est_arr,turn,ops_mst_calc,sch_mst_calc,total_seat,prev_turn_time,is_mx,total_pax,J_pax,O_pax,Y_pax,num_connx_pax,delay_penalty,cancel_penalty,swap_options,prev_station,prev_aid
UA_2256_2025-09-19_IAH_MTY_0_0,2256IAH2025-09-19,4896,2025-09-19,IAH,MTY,1758294540,1758300480,UA_1085_2025-09-19_MEX_IAH_0_0,UA_2026_2025-09-19_MTY_IAH_0_0,-5,-6,1758294540,1758300480,3600,3480,3480,126,2880,false,102,10,0,92,0,102,2203200,"[UA_1688_2025-09-19_IAH_YYZ_0_0, UA_1060_2025-09-19_IAH_MEX_0_0, UA_1934_2025-09-19_IAH_CLE_0_0, UA_1962_2025-09-19_IAH_ATL_0_0]",IAH,4896
UA_2026_2025-09-19_MTY_IAH_0_0,2026MTY2025-09-19,4896,2025-09-19,MTY,IAH,1758305400,1758310560,UA_2256_2025-09-19_IAH_MTY_0_0,UA_1711_2025-09-19_IAH_AUS_0_0,-6,-5,1758305400,1758310560,3000,2880,2880,126,3480,false,83,12,0,71,67,83,1792800,,MTY,4896
UA_1711_2025-09-19_IAH_AUS_0_0,1711IAH2025-09-19,4896,2025-09-19,IAH,AUS,1758316800,1758320580,UA_2026_2025-09-19_MTY_IAH_0_0,UA_345_2025-09-19_AUS_DEN_0_0,-5,-5,1758316800,1758320580,3600,3480,3480,126,2880,false,124,12,0,112,0,124,2678400,"[UA_2472_2025-09-19_IAH_DCA_0_0, UA_1388_2025-09-19_IAH_DFW_0_0, UA_1028_2025-09-19_IAH_MEX_0_0]",IAH,4896
UA_345_2025-09-19_AUS_DEN_0_0,345AUS2025-09-19,4896,2025-09-19,AUS,DEN,1758323940,1758332400,UA_1711_2025-09-19_IAH_AUS_0_0,MX_4896_2025-09-19_DEN_DEN_false,-5,-6,1758323940,1758332400,2520,2580,2580,126,3480,false,126,11,0,115,34,126,2721600,"[UA_297_2025-09-19_AUS_DEN_0_0, UA_789_2025-09-19_AUS_IAH_0_0]",AUS,4896
MX_4896_2025-09-19_DEN_DEN_false,MX_4896_2025-09-19_DEN_DEN_false,4896,2025-09-19,DEN,DEN,1758332400,1758354000,UA_345_2025-09-19_AUS_DEN_0_0,UA_493_2025-09-20_DEN_MTJ_0_0,,,1758332400,1758354000,5100,5100,5100,,0,true,,,,,,,,,DEN,4896
UA_493_2025-09-20_DEN_MTJ_0_0,493DEN2025-09-20,4896,2025-09-20,DEN,MTJ,1758396300,1758400080,MX_4896_2025-09-19_DEN_DEN_false,UA_1532_2025-09-20_MTJ_DEN_0_0,-6,-6,1758396300,1758400080,5100,2580,2580,126,2580,false,119,9,0,110,0,119,2570400,[UA_1183_2025-09-20_DEN_GTF_0_0],DEN,4896
UA_1532_2025-09-20_MTJ_DEN_0_0,1532MTJ2025-09-20,4896,2025-09-20,MTJ,DEN,1758403440,1758407580,UA_493_2025-09-20_DEN_MTJ_0_0,UA_616_2025-09-20_DEN_CLT_0_0,-6,-6,1758403440,1758407580,2520,2580,2580,126,2580,false,91,8,0,83,83,91,1965600,,MTJ,4896
UA_616_2025-09-20_DEN_CLT_0_0,616DEN2025-09-20,4896,2025-09-20,DEN,CLT,1758411300,1758423180,UA_1532_2025-09-20_MTJ_DEN_0_0,UA_2672_2025-09-21_CLT_ORD_0_0,-6,-4,1758411300,1758423180,2880,2580,2580,126,2580,false,106,11,0,95,0,106,2289600,"[UA_1726_2025-09-20_DEN_DAY_0_0, UA_1300_2025-09-20_DEN_BNA_0_0, UA_1351_2025-09-20_DEN_FAR_0_0]",DEN,4896
UA_2672_2025-09-21_CLT_ORD_0_0,2672CLT2025-09-21,4896,2025-09-21,CLT,ORD,1758451200,1758459600,UA_616_2025-09-20_DEN_CLT_0_0,UA_442_2025-09-21_ORD_ORF_0_0,-4,-5,1758451200,1758459600,5100,2580,2580,126,2580,false,59,9,0,50,40,59,1274400,,CLT,4896
UA_442_2025-09-21_ORD_ORF_0_0,442ORD2025-09-21,4896,2025-09-21,ORD,ORF,1758471600,1758480000,UA_2672_2025-09-21_CLT_ORD_0_0,UA_1710_2025-09-21_ORF_ORD_0_0,-5,-4,1758471600,1758480000,2880,2580,2580,126,2580,false,126,12,0,114,0,126,2721600,"[UA_2144_2025-09-21_ORD_YYZ_0_0, UA_2653_2025-09-21_ORD_RDU_0_0, UA_2635_2025-09-21_ORD_CLT_0_0, UA_2164_2025-09-21_ORD_ABQ_0_0, UA_2455_2025-09-21_ORD_SAV_0_0, UA_233_2025-09-21_ORD_TVC_0_0]",ORD,4896
